title,message,severity,action,due_in_days,status,Transformer_name,Transformer_id,examples,chart_type
اقتراب من السعة بعد 6 أشهر,الحمل المتوقع (571.6 KVA) سيقترب من 90% من السعة.,info,مراجعة الزيادات المتوقعة في الأحمال,180,مراقبة,ابو ندى - الحبيبي,11,,
المحول أنهى عمره الافتراضي,المحول وصل للعمر الافتراضي المحدد ويجب مراقبته بصرامة.,error,مراقبة دقيقة وأخذ إجراءات وقائية محتملة.,7,مراقبة,أبو عريف 1,39,,
عدم توازن — شمالي,السكينة شمالي غير متزنة (0.24). المشكلة مزمنة.,warning,إرسال طاقم فني للكشف على السكينة شمالي وتوازن الأحمال,7,جديد,ابو ندى - الحبيبي,11,"[{'تاريخ القياس': Timestamp('2023-08-20 00:00:00'), 'Imbalance': 0.3995089961647033}, {'تاريخ القياس': Timestamp('2023-01-16 00:00:00'), 'Imbalance': 0.0805605026776222}]",imbalance
